timestamp,hour,node_id,city,latitude,longitude,irradiance_Wm2,air_temp_C,P_max_W,P_reported_W,fdia_detected,verification_status
2026-04-01T00:00:00+08:00,0,BEI-001,Beijing,39.887642,116.38095,0.0,14.2,0.0,0.0,False,verified
2026-04-01T01:00:00+08:00,1,BEI-001,Beijing,39.887642,116.38095,0.0,13.5,0.0,0.0,False,verified
2026-04-01T02:00:00+08:00,2,BEI-001,Beijing,39.887642,116.38095,0.0,12.6,0.0,0.0,False,verified
2026-04-01T03:00:00+08:00,3,BEI-001,Beijing,39.887642,116.38095,0.0,11.7,0.0,0.0,False,verified
2026-04-01T04:00:00+08:00,4,BEI-001,Beijing,39.887642,116.38095,0.0,11.0,0.0,0.0,False,verified
2026-04-01T05:00:00+08:00,5,BEI-001,Beijing,39.887642,116.38095,0.0,10.2,0.0,0.0,False,verified
2026-04-01T06:00:00+08:00,6,BEI-001,Beijing,39.887642,116.38095,0.0,9.3,0.0,0.0,False,verified
2026-04-01T07:00:00+08:00,7,BEI-001,Beijing,39.887642,116.38095,39.0,8.8,369.1,355.86,False,verified
2026-04-01T08:00:00+08:00,8,BEI-001,Beijing,39.887642,116.38095,175.0,10.6,1645.57,1590.75,False,verified
2026-04-01T09:00:00+08:00,9,BEI-001,Beijing,39.887642,116.38095,352.0,12.5,3287.35,3191.52,False,verified
2026-04-01T10:00:00+08:00,10,BEI-001,Beijing,39.887642,116.38095,518.0,13.7,4816.63,4702.42,False,verified
2026-04-01T11:00:00+08:00,11,BEI-001,Beijing,39.887642,116.38095,652.0,14.6,6042.8,5773.03,False,verified
2026-04-01T12:00:00+08:00,12,BEI-001,Beijing,39.887642,116.38095,731.0,15.6,6750.28,6561.62,False,verified
2026-04-01T13:00:00+08:00,13,BEI-001,Beijing,39.887642,116.38095,743.0,16.6,6835.98,6813.57,False,verified
2026-04-01T14:00:00+08:00,14,BEI-001,Beijing,39.887642,116.38095,702.0,17.1,6446.9,6376.54,False,verified
2026-04-01T15:00:00+08:00,15,BEI-001,Beijing,39.887642,116.38095,584.0,17.8,5349.42,5370.85,False,verified
2026-04-01T16:00:00+08:00,16,BEI-001,Beijing,39.887642,116.38095,443.0,17.8,4057.86,3988.96,False,verified
2026-04-01T17:00:00+08:00,17,BEI-001,Beijing,39.887642,116.38095,273.76,17.4,2511.33,2434.49,False,verified
2026-04-01T18:00:00+08:00,18,BEI-001,Beijing,39.887642,116.38095,57.57,15.8,531.26,521.85,False,verified
2026-04-01T19:00:00+08:00,19,BEI-001,Beijing,39.887642,116.38095,0.0,13.8,0.0,0.0,False,verified
2026-04-01T20:00:00+08:00,20,BEI-001,Beijing,39.887642,116.38095,0.0,12.4,0.0,0.0,False,verified
2026-04-01T21:00:00+08:00,21,BEI-001,Beijing,39.887642,116.38095,0.0,11.6,0.0,0.0,False,verified
2026-04-01T22:00:00+08:00,22,BEI-001,Beijing,39.887642,116.38095,0.0,10.8,0.0,0.0,False,verified
2026-04-01T23:00:00+08:00,23,BEI-001,Beijing,39.887642,116.38095,0.0,10.1,0.0,0.0,False,verified
2026-04-02T00:00:00+08:00,0,BEI-001,Beijing,39.887642,116.38095,0.0,9.3,0.0,0.0,False,verified
2026-04-02T01:00:00+08:00,1,BEI-001,Beijing,39.887642,116.38095,0.0,8.8,0.0,0.0,False,verified
2026-04-02T02:00:00+08:00,2,BEI-001,Beijing,39.887642,116.38095,0.0,8.2,0.0,0.0,False,verified
2026-04-02T03:00:00+08:00,3,BEI-001,Beijing,39.887642,116.38095,0.0,8.1,0.0,0.0,False,verified
2026-04-02T04:00:00+08:00,4,BEI-001,Beijing,39.887642,116.38095,0.0,7.8,0.0,0.0,False,verified
2026-04-02T05:00:00+08:00,5,BEI-001,Beijing,39.887642,116.38095,0.0,7.4,0.0,0.0,False,verified
2026-04-02T06:00:00+08:00,6,BEI-001,Beijing,39.887642,116.38095,0.0,6.9,0.0,0.0,False,verified
2026-04-02T07:00:00+08:00,7,BEI-001,Beijing,39.887642,116.38095,39.0,6.7,371.87,362.93,False,verified
2026-04-02T08:00:00+08:00,8,BEI-001,Beijing,39.887642,116.38095,170.0,7.0,1619.24,1589.24,False,verified
2026-04-02T09:00:00+08:00,9,BEI-001,Beijing,39.887642,116.38095,340.0,8.6,3220.1,3085.6,False,verified
2026-04-02T10:00:00+08:00,10,BEI-001,Beijing,39.887642,116.38095,504.0,10.4,4742.66,4619.5,False,verified
2026-04-02T11:00:00+08:00,11,BEI-001,Beijing,39.887642,116.38095,636.0,12.2,5946.1,5776.0,False,verified
2026-04-02T12:00:00+08:00,12,BEI-001,Beijing,39.887642,116.38095,716.0,14.3,6643.22,6602.77,False,verified
2026-04-02T13:00:00+08:00,13,BEI-001,Beijing,39.887642,116.38095,736.0,16.2,6781.53,6735.63,False,verified
2026-04-02T14:00:00+08:00,14,BEI-001,Beijing,39.887642,116.38095,664.0,17.5,6088.95,6040.12,False,verified
2026-04-02T15:00:00+08:00,15,BEI-001,Beijing,39.887642,116.38095,541.0,18.8,4937.26,4825.44,False,verified
2026-04-02T16:00:00+08:00,16,BEI-001,Beijing,39.887642,116.38095,376.0,19.0,3428.9,3332.88,False,verified
2026-04-02T17:00:00+08:00,17,BEI-001,Beijing,39.887642,116.38095,213.0,18.6,1945.31,1895.11,False,verified
2026-04-02T18:00:00+08:00,18,BEI-001,Beijing,39.887642,116.38095,60.02,18.1,549.2,547.2,False,verified
2026-04-02T19:00:00+08:00,19,BEI-001,Beijing,39.887642,116.38095,0.0,17.4,0.0,0.0,False,verified
2026-04-02T20:00:00+08:00,20,BEI-001,Beijing,39.887642,116.38095,0.0,16.7,0.0,0.0,False,verified
2026-04-02T21:00:00+08:00,21,BEI-001,Beijing,39.887642,116.38095,0.0,16.4,0.0,0.0,False,verified
2026-04-02T22:00:00+08:00,22,BEI-001,Beijing,39.887642,116.38095,0.0,15.7,0.0,0.0,False,verified
2026-04-02T23:00:00+08:00,23,BEI-001,Beijing,39.887642,116.38095,0.0,15.3,0.0,0.0,False,verified
2026-04-03T00:00:00+08:00,0,BEI-001,Beijing,39.887642,116.38095,0.0,14.5,0.0,0.0,False,verified
2026-04-03T01:00:00+08:00,1,BEI-001,Beijing,39.887642,116.38095,0.0,14.1,0.0,0.0,False,verified
2026-04-03T02:00:00+08:00,2,BEI-001,Beijing,39.887642,116.38095,0.0,13.5,0.0,0.0,False,verified
